customer_id,period,age_group,brand,budget_range,purchase_channel,days_to_decide,payment_method,influencer_type,accessories_bought,purchase_amount
C001,baseline,26-35,Samsung,mid-range,electronics_store,12,full_payment,tech_review,1,28500
C002,baseline,18-25,Xiaomi,budget,online,5,EMI_12,social_media,0,11999
C003,baseline,36-45,Apple,premium,brand_store,21,credit_card,word_of_mouth,1,79900
C004,baseline,26-35,Samsung,mid-range,electronics_store,8,EMI_6,tech_review,1,24999
C005,baseline,46-55,OnePlus,mid-range,electronics_store,18,full_payment,word_of_mouth,0,32000
C006,baseline,18-25,Xiaomi,budget,online,3,EMI_12,social_media,0,9999
C007,baseline,36-45,Samsung,premium,electronics_store,25,full_payment,tech_review,1,55000
C008,baseline,26-35,Vivo,mid-range,telecom_store,10,EMI_6,celebrity_ad,0,21000
C009,baseline,18-25,Xiaomi,budget,online,4,EMI_12,social_media,1,13500
C010,baseline,55+,Samsung,mid-range,electronics_store,30,full_payment,word_of_mouth,0,26000
C011,baseline,26-35,OnePlus,mid-range,electronics_store,14,full_payment,tech_review,1,29999
C012,baseline,18-25,Xiaomi,budget,online,2,EMI_12,social_media,0,8999
C013,baseline,36-45,Apple,flagship,brand_store,28,full_payment,word_of_mouth,1,129900
C014,baseline,46-55,Samsung,mid-range,electronics_store,20,full_payment,tech_review,0,27500
C015,baseline,26-35,Vivo,budget,online,6,EMI_6,social_media,0,14999
C016,baseline,18-25,Xiaomi,budget,online,3,EMI_12,social_media,1,10999
C017,baseline,36-45,Samsung,premium,electronics_store,22,EMI_12,tech_review,1,48000
C018,baseline,26-35,OnePlus,mid-range,electronics_store,11,full_payment,tech_review,0,33000
C019,baseline,55+,Apple,flagship,brand_store,35,full_payment,word_of_mouth,0,119900
C020,baseline,46-55,Samsung,mid-range,telecom_store,17,EMI_6,celebrity_ad,0,25000
C021,baseline,18-25,Xiaomi,budget,online,4,EMI_12,social_media,1,12499
C022,baseline,26-35,Samsung,mid-range,electronics_store,9,full_payment,tech_review,1,30000
C023,baseline,36-45,OnePlus,premium,electronics_store,19,full_payment,tech_review,0,44999
C024,baseline,18-25,Vivo,budget,online,5,EMI_12,social_media,0,11000
C025,baseline,46-55,Samsung,mid-range,electronics_store,16,full_payment,word_of_mouth,0,28000
C026,baseline,26-35,Xiaomi,mid-range,online,7,EMI_6,social_media,1,18999
C027,baseline,36-45,Apple,premium,brand_store,24,credit_card,word_of_mouth,1,84900
C028,baseline,18-25,Samsung,budget,electronics_store,8,EMI_12,celebrity_ad,0,15999
C029,baseline,55+,Samsung,mid-range,electronics_store,32,full_payment,tech_review,0,24999
C030,baseline,26-35,OnePlus,mid-range,electronics_store,13,full_payment,tech_review,1,27999
C031,baseline,18-25,Xiaomi,budget,online,2,EMI_12,social_media,0,9499
C032,baseline,36-45,Samsung,premium,electronics_store,26,EMI_24,tech_review,1,52000
C033,baseline,46-55,Vivo,mid-range,telecom_store,15,full_payment,celebrity_ad,0,19999
C034,baseline,26-35,Apple,premium,brand_store,20,full_payment,word_of_mouth,1,76900
C035,baseline,18-25,Xiaomi,budget,online,3,EMI_12,social_media,1,11499
C036,baseline,36-45,Samsung,mid-range,electronics_store,18,full_payment,tech_review,0,29000
C037,baseline,55+,OnePlus,mid-range,electronics_store,28,full_payment,word_of_mouth,0,31000
C038,baseline,26-35,Xiaomi,mid-range,online,6,EMI_6,social_media,1,17999
C039,baseline,18-25,Samsung,budget,electronics_store,7,EMI_12,celebrity_ad,0,14999
C040,baseline,46-55,Apple,flagship,brand_store,30,full_payment,word_of_mouth,0,109900
C041,baseline,26-35,OnePlus,mid-range,electronics_store,12,full_payment,tech_review,1,34999
C042,baseline,18-25,Xiaomi,budget,online,4,EMI_12,social_media,0,10499
C043,baseline,36-45,Samsung,premium,electronics_store,23,EMI_12,tech_review,1,45000
C044,baseline,26-35,Vivo,mid-range,telecom_store,9,EMI_6,celebrity_ad,0,22000
C045,baseline,55+,Samsung,mid-range,electronics_store,27,full_payment,word_of_mouth,0,25999
C046,baseline,18-25,Xiaomi,budget,online,3,EMI_12,social_media,1,12000
C047,baseline,36-45,Apple,premium,brand_store,22,credit_card,word_of_mouth,1,81900
C048,baseline,46-55,Samsung,mid-range,electronics_store,14,full_payment,tech_review,0,27000
C049,baseline,26-35,OnePlus,premium,electronics_store,16,full_payment,tech_review,0,41000
C050,baseline,18-25,Vivo,budget,online,5,EMI_12,social_media,0,13000
C051,baseline,26-35,Samsung,mid-range,electronics_store,10,full_payment,tech_review,1,31000
C052,baseline,36-45,Xiaomi,mid-range,online,8,EMI_6,social_media,0,16999
C053,baseline,18-25,Samsung,budget,electronics_store,6,EMI_12,celebrity_ad,1,15499
C054,baseline,55+,OnePlus,mid-range,electronics_store,31,full_payment,word_of_mouth,0,28999
C055,baseline,46-55,Apple,flagship,brand_store,35,full_payment,word_of_mouth,1,124900
C056,baseline,26-35,Xiaomi,mid-range,online,7,EMI_6,social_media,1,19499
C057,baseline,18-25,Xiaomi,budget,online,2,EMI_12,social_media,0,9999
C058,baseline,36-45,Samsung,premium,electronics_store,21,EMI_24,tech_review,1,50000
C059,baseline,26-35,Vivo,mid-range,telecom_store,11,EMI_6,celebrity_ad,0,20500
C060,baseline,46-55,Samsung,mid-range,electronics_store,19,full_payment,word_of_mouth,0,26500
C061,baseline,18-25,Xiaomi,budget,online,4,EMI_12,social_media,1,11999
C062,baseline,36-45,Apple,flagship,brand_store,29,full_payment,word_of_mouth,1,119900
C063,baseline,26-35,OnePlus,mid-range,electronics_store,13,full_payment,tech_review,0,30500
C064,baseline,55+,Samsung,mid-range,electronics_store,33,full_payment,tech_review,0,27000
C065,baseline,18-25,Vivo,budget,online,5,EMI_12,social_media,0,12499
C066,baseline,26-35,Samsung,premium,electronics_store,17,EMI_12,tech_review,1,46000
C067,baseline,36-45,Xiaomi,mid-range,online,9,EMI_6,social_media,0,17499
C068,baseline,46-55,OnePlus,mid-range,electronics_store,22,full_payment,word_of_mouth,0,32500
C069,baseline,18-25,Samsung,budget,online,6,EMI_12,social_media,1,15000
C070,baseline,26-35,Apple,premium,brand_store,20,full_payment,word_of_mouth,1,78900
C071,baseline,36-45,Samsung,mid-range,electronics_store,15,full_payment,tech_review,0,28000
C072,baseline,55+,Vivo,mid-range,telecom_store,26,full_payment,word_of_mouth,0,19999
C073,baseline,18-25,Xiaomi,budget,online,3,EMI_12,social_media,1,10999
C074,baseline,46-55,Samsung,premium,electronics_store,20,EMI_12,tech_review,0,43000
C075,baseline,26-35,OnePlus,mid-range,electronics_store,11,full_payment,tech_review,1,33999
C076,baseline,18-25,Xiaomi,budget,online,4,EMI_12,social_media,0,9499
C077,baseline,36-45,Apple,flagship,brand_store,27,credit_card,word_of_mouth,1,134900
C078,baseline,26-35,Samsung,mid-range,electronics_store,8,full_payment,tech_review,0,29500
C079,baseline,55+,Samsung,mid-range,electronics_store,29,full_payment,word_of_mouth,0,24999
C080,baseline,46-55,Vivo,mid-range,telecom_store,16,full_payment,celebrity_ad,0,21500
C081,baseline,18-25,Xiaomi,budget,online,2,EMI_12,social_media,1,10499
C082,baseline,26-35,Samsung,premium,electronics_store,18,EMI_12,tech_review,1,47000
C083,baseline,36-45,OnePlus,premium,electronics_store,24,full_payment,tech_review,0,42999
C084,baseline,18-25,Vivo,budget,online,5,EMI_12,social_media,0,13999
C085,baseline,46-55,Apple,premium,brand_store,32,full_payment,word_of_mouth,1,82900
C086,baseline,26-35,Xiaomi,mid-range,online,7,EMI_6,social_media,1,18499
C087,baseline,55+,Samsung,mid-range,electronics_store,28,full_payment,tech_review,0,26000
C088,baseline,18-25,Samsung,budget,electronics_store,6,EMI_12,celebrity_ad,0,15999
C089,baseline,36-45,Samsung,mid-range,electronics_store,20,full_payment,word_of_mouth,0,27500
C090,baseline,26-35,OnePlus,mid-range,electronics_store,14,full_payment,tech_review,1,31999
C091,baseline,18-25,Xiaomi,budget,online,3,EMI_12,social_media,0,11499
C092,baseline,46-55,Samsung,premium,electronics_store,18,EMI_24,tech_review,0,49000
C093,baseline,36-45,Apple,flagship,brand_store,26,full_payment,word_of_mouth,1,114900
C094,baseline,26-35,Vivo,mid-range,telecom_store,10,EMI_6,celebrity_ad,0,20999
C095,baseline,18-25,Xiaomi,budget,online,4,EMI_12,social_media,1,12999
C096,baseline,55+,OnePlus,mid-range,electronics_store,30,full_payment,word_of_mouth,0,29999
C097,baseline,26-35,Samsung,mid-range,electronics_store,12,full_payment,tech_review,1,28500
C098,baseline,36-45,Xiaomi,mid-range,online,9,EMI_6,social_media,0,16499
C099,baseline,46-55,Samsung,mid-range,electronics_store,17,full_payment,word_of_mouth,0,27000
C100,baseline,18-25,Samsung,budget,online,5,EMI_12,social_media,0,14999
C101,baseline,26-35,Apple,premium,brand_store,22,credit_card,word_of_mouth,1,76900
C102,baseline,36-45,Samsung,premium,electronics_store,24,EMI_12,tech_review,1,51000
C103,baseline,18-25,Xiaomi,budget,online,3,EMI_12,social_media,1,10499
C104,baseline,55+,Samsung,mid-range,electronics_store,34,full_payment,word_of_mouth,0,25499
C105,baseline,46-55,OnePlus,premium,electronics_store,19,full_payment,tech_review,0,40000
C106,baseline,26-35,Xiaomi,mid-range,online,6,EMI_6,social_media,1,17999
C107,baseline,18-25,Vivo,budget,online,4,EMI_12,social_media,0,12499
C108,baseline,36-45,Samsung,mid-range,electronics_store,16,full_payment,tech_review,0,29000
C109,baseline,26-35,OnePlus,mid-range,electronics_store,13,full_payment,tech_review,1,32000
C110,baseline,46-55,Apple,flagship,brand_store,31,full_payment,word_of_mouth,1,119900
C111,baseline,18-25,Xiaomi,budget,online,2,EMI_12,social_media,0,9999
C112,baseline,36-45,Samsung,premium,electronics_store,23,EMI_12,tech_review,0,46500
C113,baseline,26-35,Vivo,mid-range,telecom_store,9,EMI_6,celebrity_ad,0,21999
C114,baseline,55+,Samsung,mid-range,electronics_store,27,full_payment,word_of_mouth,0,26500
C115,baseline,18-25,Xiaomi,budget,online,5,EMI_12,social_media,1,11999
C116,baseline,26-35,Samsung,mid-range,electronics_store,10,full_payment,tech_review,1,30000
C117,baseline,36-45,Apple,premium,brand_store,25,credit_card,word_of_mouth,1,83900
C118,baseline,46-55,Xiaomi,mid-range,online,14,EMI_6,social_media,0,16999
C119,baseline,18-25,Samsung,budget,electronics_store,7,EMI_12,celebrity_ad,0,14999
C120,baseline,26-35,OnePlus,premium,electronics_store,17,full_payment,tech_review,0,43999
C201,current,18-25,Apple,premium,online,6,EMI_24,social_media,1,84900
C202,current,18-25,Samsung,flagship,online,4,EMI_24,social_media,1,105000
C203,current,26-35,Apple,flagship,online,7,EMI_24,social_media,1,129900
C204,current,18-25,Xiaomi,mid-range,online,3,EMI_12,social_media,0,21999
C205,current,26-35,Apple,premium,online,5,EMI_24,social_media,1,79900
C206,current,18-25,Samsung,premium,online,4,EMI_12,social_media,1,55000
C207,current,36-45,Apple,flagship,brand_store,9,credit_card,tech_review,1,134900
C208,current,18-25,OnePlus,mid-range,online,3,EMI_12,social_media,0,34999
C209,current,26-35,Apple,premium,online,6,EMI_24,social_media,1,76900
C210,current,18-25,Xiaomi,mid-range,online,2,EMI_12,social_media,0,19999
C211,current,18-25,Samsung,premium,online,5,EMI_24,social_media,1,62000
C212,current,26-35,Apple,flagship,brand_store,8,credit_card,tech_review,1,124900
C213,current,18-25,Xiaomi,mid-range,online,3,EMI_12,social_media,0,22999
C214,current,36-45,Apple,flagship,online,10,EMI_24,word_of_mouth,1,119900
C215,current,18-25,Samsung,premium,online,4,EMI_12,social_media,1,52000
C216,current,26-35,OnePlus,premium,online,6,EMI_12,social_media,0,44999
C217,current,18-25,Apple,premium,online,5,EMI_24,social_media,1,81900
C218,current,46-55,Apple,flagship,brand_store,12,full_payment,word_of_mouth,1,129900
C219,current,18-25,Xiaomi,mid-range,online,3,EMI_12,social_media,0,20999
C220,current,26-35,Samsung,flagship,online,7,EMI_24,social_media,1,99000
C221,current,18-25,Apple,premium,online,4,EMI_24,social_media,1,78900
C222,current,36-45,Samsung,flagship,online,9,EMI_24,tech_review,1,110000
C223,current,18-25,OnePlus,mid-range,online,3,EMI_12,social_media,0,32000
C224,current,26-35,Apple,flagship,brand_store,8,credit_card,social_media,1,134900
C225,current,18-25,Xiaomi,mid-range,online,2,EMI_12,social_media,0,24999
C226,current,46-55,Apple,flagship,brand_store,11,full_payment,word_of_mouth,1,119900
C227,current,18-25,Samsung,premium,online,5,EMI_24,social_media,1,58000
C228,current,26-35,Apple,premium,online,6,EMI_24,social_media,1,84900
C229,current,18-25,Xiaomi,mid-range,online,3,EMI_12,social_media,0,21499
C230,current,36-45,Apple,flagship,brand_store,10,credit_card,tech_review,1,129900
C231,current,18-25,OnePlus,premium,online,4,EMI_12,social_media,1,41000
C232,current,26-35,Samsung,flagship,online,7,EMI_24,social_media,1,104000
C233,current,18-25,Apple,premium,online,5,EMI_24,social_media,1,79900
C234,current,55+,Apple,flagship,brand_store,14,full_payment,word_of_mouth,0,119900
C235,current,18-25,Xiaomi,mid-range,online,2,EMI_12,social_media,0,19499
C236,current,26-35,Apple,flagship,online,6,EMI_24,social_media,1,124900
C237,current,18-25,Samsung,premium,online,4,EMI_12,social_media,1,54000
C238,current,36-45,OnePlus,premium,online,8,EMI_12,tech_review,0,43999
C239,current,18-25,Apple,premium,online,5,EMI_24,social_media,1,81900
C240,current,26-35,Xiaomi,mid-range,online,3,EMI_12,social_media,0,23999
C241,current,18-25,Samsung,flagship,online,6,EMI_24,social_media,1,109000
C242,current,46-55,Apple,flagship,brand_store,12,full_payment,tech_review,1,134900
C243,current,18-25,OnePlus,mid-range,online,3,EMI_12,social_media,0,34000
C244,current,26-35,Apple,premium,online,5,EMI_24,social_media,1,76900
C245,current,18-25,Xiaomi,mid-range,online,2,EMI_12,social_media,0,20499
C246,current,36-45,Samsung,flagship,online,9,EMI_24,tech_review,1,99000
C247,current,18-25,Apple,premium,online,4,EMI_24,social_media,1,78900
C248,current,26-35,OnePlus,flagship,online,7,EMI_24,social_media,1,69999
C249,current,18-25,Xiaomi,mid-range,online,3,EMI_12,social_media,0,22499
C250,current,18-25,Apple,flagship,brand_store,5,EMI_24,social_media,1,129900
C251,current,26-35,Samsung,premium,online,6,EMI_12,social_media,1,53000
C252,current,18-25,Apple,premium,online,4,EMI_24,social_media,1,82900
C253,current,36-45,Apple,flagship,online,10,EMI_24,word_of_mouth,1,119900
C254,current,18-25,Xiaomi,mid-range,online,2,EMI_12,social_media,0,21999
C255,current,26-35,Apple,flagship,brand_store,7,credit_card,social_media,1,129900
C256,current,18-25,Samsung,premium,online,5,EMI_24,social_media,1,57000
C257,current,46-55,Samsung,flagship,electronics_store,13,EMI_24,word_of_mouth,1,105000
C258,current,18-25,OnePlus,mid-range,online,3,EMI_12,social_media,0,33999
C259,current,26-35,Apple,premium,online,6,EMI_24,social_media,1,79900
C260,current,18-25,Xiaomi,mid-range,online,3,EMI_12,social_media,0,20999
C261,current,36-45,Apple,flagship,brand_store,8,credit_card,tech_review,1,134900
C262,current,18-25,Samsung,flagship,online,5,EMI_24,social_media,1,112000
C263,current,26-35,Apple,premium,online,6,EMI_24,social_media,1,84900
C264,current,18-25,Xiaomi,mid-range,online,2,EMI_12,social_media,0,22999
C265,current,55+,Samsung,flagship,electronics_store,16,full_payment,word_of_mouth,0,99000
C266,current,18-25,Apple,premium,online,4,EMI_24,social_media,1,78900
C267,current,26-35,OnePlus,premium,online,6,EMI_12,social_media,0,42999
C268,current,18-25,Samsung,premium,online,4,EMI_12,social_media,1,50000
C269,current,36-45,Apple,flagship,online,9,EMI_24,tech_review,1,124900
C270,current,18-25,Xiaomi,mid-range,online,3,EMI_12,social_media,0,19999
C271,current,26-35,Apple,flagship,brand_store,7,credit_card,social_media,1,129900
C272,current,18-25,Samsung,premium,online,5,EMI_24,social_media,1,60000
C273,current,46-55,Apple,flagship,brand_store,11,full_payment,word_of_mouth,1,119900
C274,current,18-25,OnePlus,mid-range,online,3,EMI_12,social_media,0,31000
C275,current,26-35,Xiaomi,mid-range,online,4,EMI_12,social_media,0,23999
C276,current,18-25,Apple,premium,online,5,EMI_24,social_media,1,81900
C277,current,36-45,Samsung,flagship,online,9,EMI_24,tech_review,1,107000
C278,current,18-25,Apple,premium,online,4,EMI_24,social_media,1,79900
C279,current,26-35,OnePlus,flagship,online,7,EMI_24,social_media,1,72999
C280,current,18-25,Xiaomi,mid-range,online,2,EMI_12,social_media,0,20999
C281,current,18-25,Samsung,flagship,online,6,EMI_24,social_media,1,105000
C282,current,26-35,Apple,flagship,brand_store,8,credit_card,tech_review,1,134900
C283,current,36-45,Apple,premium,online,10,EMI_24,word_of_mouth,1,82900
C284,current,18-25,Xiaomi,mid-range,online,3,EMI_12,social_media,0,21499
C285,current,26-35,Samsung,premium,online,5,EMI_12,social_media,1,52000
C286,current,18-25,Apple,flagship,brand_store,5,EMI_24,social_media,1,129900
C287,current,46-55,Samsung,flagship,electronics_store,12,EMI_24,word_of_mouth,0,99000
C288,current,18-25,OnePlus,mid-range,online,3,EMI_12,social_media,1,34999
C289,current,26-35,Apple,premium,online,6,EMI_24,social_media,1,76900
C290,current,18-25,Xiaomi,mid-range,online,4,EMI_12,social_media,0,22999
C291,current,36-45,Apple,flagship,online,9,EMI_24,tech_review,1,119900
C292,current,18-25,Samsung,premium,online,5,EMI_24,social_media,1,58000
C293,current,26-35,OnePlus,premium,online,6,EMI_12,social_media,0,40000
C294,current,18-25,Apple,premium,online,4,EMI_24,social_media,1,84900
C295,current,55+,Apple,flagship,brand_store,14,full_payment,word_of_mouth,1,124900
C296,current,18-25,Xiaomi,mid-range,online,2,EMI_12,social_media,0,20499
C297,current,26-35,Apple,flagship,brand_store,7,credit_card,social_media,1,129900
C298,current,18-25,Samsung,premium,online,5,EMI_24,social_media,1,56000
C299,current,36-45,Apple,flagship,online,10,EMI_24,word_of_mouth,1,134900
C300,current,26-35,Samsung,flagship,online,6,EMI_24,social_media,1,110000
C301,current,18-25,Apple,premium,online,4,EMI_24,social_media,1,79900
C302,current,46-55,Apple,flagship,brand_store,11,full_payment,tech_review,1,124900
C303,current,18-25,Xiaomi,mid-range,online,3,EMI_12,social_media,0,23499
C304,current,26-35,Apple,premium,online,6,EMI_24,social_media,1,82900
C305,current,18-25,OnePlus,mid-range,online,3,EMI_12,social_media,0,33000
C306,current,36-45,Samsung,flagship,online,8,EMI_24,tech_review,1,105000
C307,current,18-25,Apple,flagship,brand_store,5,EMI_24,social_media,1,129900
C308,current,26-35,Xiaomi,mid-range,online,4,EMI_12,social_media,0,21999
C309,current,18-25,Samsung,premium,online,4,EMI_12,social_media,1,54000
C310,current,55+,Samsung,flagship,electronics_store,15,full_payment,word_of_mouth,0,99000
C311,current,18-25,Apple,premium,online,5,EMI_24,social_media,1,78900
C312,current,26-35,OnePlus,premium,online,6,EMI_12,social_media,0,44999
C313,current,36-45,Apple,flagship,online,9,EMI_24,word_of_mouth,1,119900
C314,current,18-25,Xiaomi,mid-range,online,2,EMI_12,social_media,0,20999
C315,current,26-35,Apple,flagship,brand_store,7,credit_card,social_media,1,134900
C316,current,18-25,Samsung,flagship,online,6,EMI_24,social_media,1,107000
C317,current,46-55,Samsung,premium,electronics_store,13,EMI_12,word_of_mouth,0,52000
C318,current,18-25,Apple,premium,online,4,EMI_24,social_media,1,81900
C319,current,26-35,Xiaomi,mid-range,online,3,EMI_12,social_media,0,22999
C320,current,36-45,Apple,premium,online,10,EMI_24,tech_review,1,79900
