user_id,comedy_rating,action_rating,horror_rating
U001,8,7,5
U002,6,9,4
U003,7,8,6
U004,9,6,3
U005,5,8,7
U006,8,5,6
U007,7,9,5
U008,6,7,8
U009,9,8,4
U010,5,6,9
U011,8,9,3
U012,7,5,7
U013,6,8,6
U014,9,7,5
U015,5,9,8
U016,8,6,4
U017,7,8,5
U018,6,9,7
U019,9,5,6
U020,5,7,8
U021,8,8,4
U022,7,6,9
U023,6,9,5
U024,9,7,6
U025,5,8,7
U026,8,5,5
U027,7,9,4
U028,6,6,8
U029,9,8,5
U030,5,7,9
U031,8,9,6
U032,7,5,7
U033,6,8,4
U034,9,6,5
U035,5,9,8
U036,8,7,3
U037,7,8,6
U038,6,9,5
U039,9,5,7
U040,5,6,8
U041,8,8,4
U042,7,7,9
U043,6,9,5
U044,9,6,6
U045,5,8,7
U046,8,5,4
U047,7,9,5
U048,6,7,8
U049,9,8,3
U050,5,6,9